date	artist	song
10/16/82	John Cougar	Jack & Diane
10/9/82	John Cougar	Jack & Diane
10/2/82	John Cougar	Jack & Diane
9/25/82	The Steve Miller Band	Abracadabra
9/18/82	Chicago	Hard To Say I'm Sorry
9/11/82	Chicago	Hard To Say I'm Sorry
9/4/82	The Steve Miller Band	Abracadabra
8/28/82	Survivor	Eye Of The Tiger
8/21/82	Survivor	Eye Of The Tiger
8/14/82	Survivor	Eye Of The Tiger
8/7/82	Survivor	Eye Of The Tiger
7/31/82	Survivor	Eye Of The Tiger
7/24/82	Survivor	Eye Of The Tiger
7/17/82	The Human League	Don't You Want Me
7/10/82	The Human League	Don't You Want Me
7/3/82	The Human League	Don't You Want Me
6/26/82	Paul McCartney And Stevie Wonder	Ebony And Ivory
6/19/82	Paul McCartney And Stevie Wonder	Ebony And Ivory
6/12/82	Paul McCartney And Stevie Wonder	Ebony And Ivory
6/5/82	Paul McCartney And Stevie Wonder	Ebony And Ivory
5/29/82	Paul McCartney And Stevie Wonder	Ebony And Ivory
5/22/82	Paul McCartney And Stevie Wonder	Ebony And Ivory
5/15/82	Paul McCartney And Stevie Wonder	Ebony And Ivory
5/8/82	Vangelis	Chariots Of Fire - Titles
5/1/82	Joan Jett & the Blackhearts	I Love Rock 'N Roll
4/24/82	Joan Jett & the Blackhearts	I Love Rock 'N Roll
4/17/82	Joan Jett & the Blackhearts	I Love Rock 'N Roll
4/10/82	Joan Jett & the Blackhearts	I Love Rock 'N Roll
4/3/82	Joan Jett & the Blackhearts	I Love Rock 'N Roll
3/27/82	Joan Jett & the Blackhearts	I Love Rock 'N Roll
3/20/82	Joan Jett & the Blackhearts	I Love Rock 'N Roll
3/13/82	The J. Geils Band	Centerfold
3/6/82	The J. Geils Band	Centerfold
2/27/82	The J. Geils Band	Centerfold
2/20/82	The J. Geils Band	Centerfold
2/13/82	The J. Geils Band	Centerfold
2/6/82	The J. Geils Band	Centerfold
1/30/82	Daryl Hall John Oates	I Can't Go For That (No Can Do)
1/23/82	Olivia Newton-John	Physical
1/16/82	Olivia Newton-John	Physical
1/9/82	Olivia Newton-John	Physical
1/2/82	Olivia Newton-John	Physical
12/26/81	Olivia Newton-John	Physical
12/19/81	Olivia Newton-John	Physical
12/12/81	Olivia Newton-John	Physical
12/5/81	Olivia Newton-John	Physical
11/28/81	Olivia Newton-John	Physical
11/21/81	Olivia Newton-John	Physical
11/14/81	Daryl Hall John Oates	Private Eyes
11/7/81	Daryl Hall John Oates	Private Eyes
10/31/81	Christopher Cross	Arthur's Theme (Best That You Can Do)
10/24/81	Christopher Cross	Arthur's Theme (Best That You Can Do)
10/17/81	Christopher Cross	Arthur's Theme (Best That You Can Do)
10/10/81	Diana Ross & Lionel Richie	Endless Love
10/3/81	Diana Ross & Lionel Richie	Endless Love
9/26/81	Diana Ross & Lionel Richie	Endless Love
9/19/81	Diana Ross & Lionel Richie	Endless Love
9/12/81	Diana Ross & Lionel Richie	Endless Love
9/5/81	Diana Ross & Lionel Richie	Endless Love
8/29/81	Diana Ross & Lionel Richie	Endless Love
8/22/81	Diana Ross & Lionel Richie	Endless Love
8/15/81	Diana Ross & Lionel Richie	Endless Love
8/8/81	Rick Springfield	Jessie's Girl
8/1/81	Rick Springfield	Jessie's Girl
7/25/81	Air Supply	The One That You Love
7/18/81	Kim Carnes	Bette Davis Eyes
7/11/81	Kim Carnes	Bette Davis Eyes
7/4/81	Kim Carnes	Bette Davis Eyes
6/27/81	Kim Carnes	Bette Davis Eyes
6/20/81	Stars On 45	Medley
6/13/81	Kim Carnes	Bette Davis Eyes
6/6/81	Kim Carnes	Bette Davis Eyes
5/30/81	Kim Carnes	Bette Davis Eyes
5/23/81	Kim Carnes	Bette Davis Eyes
5/16/81	Kim Carnes	Bette Davis Eyes
5/9/81	Sheena Easton	Morning Train (Nine To Five)
5/2/81	Sheena Easton	Morning Train (Nine To Five)
4/25/81	Daryl Hall John Oates	Kiss On My List
4/18/81	Daryl Hall John Oates	Kiss On My List
4/11/81	Daryl Hall John Oates	Kiss On My List
4/4/81	Blondie	Rapture
3/28/81	Blondie	Rapture
3/21/81	REO Speedwagon	Keep On Loving You
3/14/81	Dolly Parton	9 To 5
3/7/81	Eddie Rabbitt	I Love A Rainy Night
2/28/81	Eddie Rabbitt	I Love A Rainy Night
2/21/81	Dolly Parton	9 To 5
2/14/81	Kool & The Gang	Celebration
2/7/81	Kool & The Gang	Celebration
1/31/81	Blondie	The Tide Is High
1/24/81	John Lennon	(Just Like) Starting Over
1/17/81	John Lennon	(Just Like) Starting Over
1/10/81	John Lennon	(Just Like) Starting Over
1/3/81	John Lennon	(Just Like) Starting Over
12/27/80	John Lennon	(Just Like) Starting Over
12/20/80	Kenny Rogers	Lady
12/13/80	Kenny Rogers	Lady
12/6/80	Kenny Rogers	Lady
11/29/80	Kenny Rogers	Lady
11/22/80	Kenny Rogers	Lady
